full_name,Pokémon,Sim_Score,#,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,HP_scale,Attack_scale,Defense_scale,Sp. Attack_scale,Sp. Defense_scale,Speed_scale,ip_g,era,whip,k_pct,bb_pct,avg_velocity,ip_g_scale,era_scale,whip_scale,k_pct_scale,bb_pct_scale,avg_velocity_scale
Félix Bautista,Cloyster,25.4,91,50,95,180,85,45,70,0.2868525896414343,0.8207171314741036,0.9920318725099602,0.7529880478087649,0.1952191235059761,0.5737051792828686,1.0930232558139534,0.96,0.85,50.3,10.5,99.3,0.3258426966292135,0.9932584269662922,0.9910112359550561,1.0,0.22359550561797747,0.9932584269662922
Jacob deGrom,Mew,67.3,151,100,100,100,100,100,100,0.9223107569721115,0.8605577689243028,0.8764940239043825,0.8784860557768924,0.8924302788844621,0.896414342629482,5.055555555555555,2.67,0.76,39.1,3.5,98.7,0.7370786516853932,0.8685393258426967,0.9977528089887641,0.9921348314606742,0.9831460674157303,0.9775280898876404
Spencer Strider,Zapdos,66.0,145,90,90,85,125,90,100,0.8346613545816733,0.7709163346613546,0.7629482071713147,0.9800796812749004,0.8127490039840638,0.896414342629482,5.833333333333334,3.78,1.09,39.7,7.4,97.2,0.9370786516853933,0.5764044943820225,0.7696629213483146,0.9955056179775281,0.6348314606741573,0.9191011235955057
Aroldis Chapman,Cloyster,15.9,91,50,95,180,85,45,70,0.2868525896414343,0.8207171314741036,0.9920318725099602,0.7529880478087649,0.1952191235059761,0.5737051792828686,0.954954954954955,2.04,1.08,44.4,14.1,99.2,0.15730337078651685,0.949438202247191,0.798876404494382,0.9977528089887641,0.0393258426966292,0.9910112359550561
Matt Brash,Haunter,24.4,93,45,50,45,115,55,95,0.21713147410358566,0.24900398406374502,0.21115537848605578,0.9561752988047809,0.34462151394422313,0.848605577689243,0.8478260869565217,3.23,1.38,39.1,9.2,97.9,0.024719101123595506,0.702247191011236,0.33370786516853934,0.9921348314606742,0.4213483146067416,0.950561797752809
Paul Sewald,Weezing,26.1,110,65,90,120,85,70,60,0.549800796812749,0.7709163346613546,0.9581673306772909,0.7529880478087649,0.5657370517928287,0.44621513944223107,0.9674796747967479,2.95,1.01,37.4,8.4,92.0,0.1797752808988764,0.8033707865168539,0.9067415730337078,0.9831460674157303,0.49213483146067416,0.18876404494382024
Craig Kimbrel,Cloyster,49.6,91,50,95,180,85,45,70,0.2868525896414343,0.8207171314741036,0.9920318725099602,0.7529880478087649,0.1952191235059761,0.5737051792828686,0.9523809523809523,3.15,0.95,38.2,10.2,95.9,0.14831460674157304,0.7393258426966292,0.9584269662921349,0.9887640449438202,0.26179775280898876,0.8123595505617978
José Alvarado,Rapidash,28.6,78,65,100,70,80,80,105,0.549800796812749,0.8605577689243028,0.5717131474103586,0.6952191235059761,0.6992031872509961,0.9302788844621513,1.0,1.38,1.15,36.4,8.4,99.0,0.23370786516853934,0.9842696629213483,0.6741573033707865,0.9752808988764045,0.49213483146067416,0.9876404494382023
Tanner Scott,Cloyster,41.8,91,50,95,180,85,45,70,0.2868525896414343,0.8207171314741036,0.9920318725099602,0.7529880478087649,0.1952191235059761,0.5737051792828686,1.0222222222222221,2.74,1.07,37.7,9.8,96.3,0.25842696629213485,0.8404494382022472,0.8202247191011236,0.9865168539325843,0.31123595505617974,0.8584269662921349
Tyler Glasnow,Golduck,70.7,55,80,82,78,95,80,85,0.7470119521912351,0.6752988047808764,0.6653386454183267,0.8326693227091634,0.6992031872509961,0.7310756972111554,5.466666666666667,3.62,1.19,34.9,7.9,96.2,0.8449438202247191,0.6179775280898876,0.6202247191011236,0.9662921348314607,0.5606741573033708,0.8505617977528089
Trevor Richards,Octillery,42.1,224,75,105,75,105,75,45,0.6852589641434262,0.8944223107569721,0.6314741035856574,0.9143426294820717,0.6235059760956175,0.26095617529880477,1.450980392156863,3.10,1.16,36.6,9.8,92.9,0.45393258426966293,0.7584269662921348,0.6561797752808989,0.9775280898876404,0.31123595505617974,0.32696629213483147
Kevin Gausman,Lapras,69.7,131,130,85,80,85,95,60,0.9780876494023905,0.7290836653386454,0.7091633466135459,0.7529880478087649,0.8446215139442231,0.44621513944223107,6.087719298245614,3.03,1.13,32.6,6.2,94.7,0.9752808988764045,0.7876404494382022,0.7089887640449438,0.9483146067415731,0.8224719101123595,0.6112359550561798
Alexis Díaz,Cloyster,65.6,91,50,95,180,85,45,70,0.2868525896414343,0.8207171314741036,0.9920318725099602,0.7529880478087649,0.1952191235059761,0.5737051792828686,0.9703703703703703,1.85,0.96,37.1,10.9,94.6,0.18651685393258427,0.9573033707865168,0.9516853932584269,0.9797752808988764,0.1853932584269663,0.5943820224719101
Bryan Abreu,Seadra,24.1,117,55,65,95,95,45,85,0.35856573705179284,0.44621513944223107,0.8346613545816733,0.8326693227091634,0.1952191235059761,0.7310756972111554,0.9858156028368795,2.72,1.14,35.9,9.9,97.6,0.20449438202247192,0.848314606741573,0.6910112359550562,0.9730337078651685,0.297752808988764,0.9337078651685393
David Bednar,Kingdra,27.9,230,75,95,95,95,95,85,0.6852589641434262,0.8207171314741036,0.8346613545816733,0.8326693227091634,0.8446215139442231,0.7310756972111554,1.027027027027027,1.18,0.92,30.7,4.7,96.4,0.26292134831460673,0.9865168539325843,0.9707865168539326,0.8966292134831461,0.9314606741573034,0.8662921348314607
Matt Strahm,Vileplume,75.5,45,75,80,85,100,90,50,0.6852589641434262,0.6254980079681275,0.7629482071713147,0.8784860557768924,0.8127490039840638,0.3247011952191235,1.9666666666666666,3.66,1.05,31.9,6.3,93.4,0.49887640449438203,0.6101123595505618,0.8573033707865169,0.9303370786516854,0.801123595505618,0.40224719101123596
Kyle Nelson,Gloom,8.0,44,60,65,70,85,75,40,0.44621513944223107,0.44621513944223107,0.5717131474103586,0.7529880478087649,0.6235059760956175,0.18725099601593626,0.8449612403100776,2.97,1.21,31.4,5.9,92.4,0.02247191011235955,0.797752808988764,0.5887640449438203,0.9146067415730337,0.849438202247191,0.2393258426966292
Josh Sborz,Xatu,56.9,178,65,75,70,95,70,95,0.549800796812749,0.5557768924302788,0.5717131474103586,0.8326693227091634,0.5657370517928287,0.848605577689243,1.2988505747126435,4.54,1.09,34.0,8.5,96.8,0.4247191011235955,0.37865168539325844,0.7696629213483146,0.9617977528089887,0.47528089887640446,0.898876404494382
Joel Payamps,Kingdra,37.6,230,75,95,95,95,95,85,0.6852589641434262,0.8207171314741036,0.8346613545816733,0.8326693227091634,0.8446215139442231,0.7310756972111554,1.054263565891473,1.79,0.90,29.9,4.5,95.4,0.30112359550561796,0.9595505617977528,0.9808988764044944,0.8797752808988764,0.9483146067415731,0.7292134831460674
A.J. Minter,Mr. Mime,56.6,122,40,45,65,100,120,90,0.15139442231075698,0.17330677290836655,0.5039840637450199,0.8784860557768924,0.9701195219123506,0.7928286852589641,0.9166666666666667,4.91,1.09,31.6,6.3,95.8,0.09213483146067415,0.2741573033707865,0.7696629213483146,0.9224719101123595,0.801123595505618,0.7887640449438202
